ticket_id,thread_id,slack_channel,slack_channel_id,slack_user_id,customer_name,created_at,message_text,source_system,expected_product_area,expected_urgency,expected_sentiment
TCKT-0015,thread-26,support-platform,C522589,U608442,Maple Bank,2026-04-27T10:57:24.311218+00:00,[Maple Bank] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0016,thread-40,support-platform,C809162,U215770,BrightPath AI,2026-04-25T18:24:24.311218+00:00,[BrightPath AI] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0017,thread-19,support-auth,C950169,U431519,Maple Bank,2026-04-27T03:43:24.311218+00:00,[Maple Bank] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0018,thread-12,support-auth,C979696,U362711,Orbit Logistics,2026-04-25T22:37:24.311218+00:00,[Orbit Logistics] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0019,thread-12,support-platform,C335862,U658138,Maple Bank,2026-04-22T14:32:24.311218+00:00,[Maple Bank] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0020,thread-11,support-enterprise,C714892,U511848,BrightPath AI,2026-04-21T13:26:24.311218+00:00,[BrightPath AI] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0021,thread-26,support-enterprise,C181159,U581669,Orbit Logistics,2026-04-25T08:01:24.311218+00:00,[Orbit Logistics] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0022,thread-36,support-platform,C481778,U727216,BrightPath AI,2026-04-25T06:06:24.311218+00:00,[BrightPath AI] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0023,thread-26,support-enterprise,C156294,U972705,Maple Bank,2026-04-19T18:00:24.311218+00:00,[Maple Bank] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0024,thread-17,support-auth,C485827,U280525,Maple Bank,2026-04-21T12:26:24.311218+00:00,[Maple Bank] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0025,thread-24,support-billing,C643829,U210637,BrightPath AI,2026-04-24T11:09:24.311218+00:00,[BrightPath AI] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0026,thread-34,support-platform,C571209,U586157,Maple Bank,2026-04-25T15:00:24.311218+00:00,[Maple Bank] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0027,thread-27,support-enterprise,C574800,U112687,Northstar Retail,2026-04-18T13:04:24.311218+00:00,[Northstar Retail] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0028,thread-36,support-enterprise,C453731,U888506,Acme Health,2026-04-24T21:25:24.311218+00:00,[Acme Health] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0029,thread-13,support-billing,C128903,U218293,BrightPath AI,2026-04-25T10:33:24.311218+00:00,[BrightPath AI] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0030,thread-29,support-platform,C917900,U203481,BrightPath AI,2026-04-20T02:39:24.311218+00:00,[BrightPath AI] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0031,thread-37,support-billing,C991818,U519408,Northstar Retail,2026-04-22T20:02:24.311218+00:00,[Northstar Retail] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0032,thread-11,support-platform,C664869,U375081,Maple Bank,2026-04-23T03:33:24.311218+00:00,[Maple Bank] SSO login is failing for all Okta users since this morning.,mock_generator,authentication,high,negative
TCKT-0033,thread-28,support-enterprise,C525228,U107817,Maple Bank,2026-04-23T21:14:24.311218+00:00,[Maple Bank] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0034,thread-30,support-auth,C441184,U437268,Acme Health,2026-04-26T19:48:24.311218+00:00,[Acme Health] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0035,thread-36,support-platform,C618487,U961757,Maple Bank,2026-04-24T03:28:24.311218+00:00,[Maple Bank] SSO login is failing for all Okta users since this morning.,mock_generator,authentication,high,negative
TCKT-0036,thread-17,support-billing,C814015,U540910,BrightPath AI,2026-04-22T23:29:24.311218+00:00,[BrightPath AI] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0037,thread-21,support-platform,C324006,U629374,Orbit Logistics,2026-04-20T09:24:24.311218+00:00,[Orbit Logistics] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0038,thread-23,support-enterprise,C653726,U507307,Acme Health,2026-04-19T08:18:24.311218+00:00,[Acme Health] API requests are timing out intermittently on the create-ticket endpoint.,mock_generator,api,medium,neutral
TCKT-0039,thread-15,support-auth,C617131,U942182,Northstar Retail,2026-04-20T15:01:24.311218+00:00,[Northstar Retail] API requests are timing out intermittently on the create-ticket endpoint.,mock_generator,api,medium,neutral
TCKT-0040,thread-29,support-platform,C276822,U846189,Acme Health,2026-04-17T18:10:24.311218+00:00,[Acme Health] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0041,thread-27,support-auth,C666779,U894892,Orbit Logistics,2026-04-19T09:21:24.311218+00:00,[Orbit Logistics] API requests are timing out intermittently on the create-ticket endpoint.,mock_generator,api,medium,neutral
TCKT-0042,thread-19,support-platform,C619806,U362819,Northstar Retail,2026-04-19T16:04:24.311218+00:00,[Northstar Retail] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0043,thread-20,support-enterprise,C180591,U551458,Acme Health,2026-04-23T17:36:24.311218+00:00,[Acme Health] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0044,thread-17,support-platform,C174014,U411089,Orbit Logistics,2026-04-18T05:04:24.311218+00:00,[Orbit Logistics] SSO login is failing for all Okta users since this morning.,mock_generator,authentication,high,negative
TCKT-0045,thread-20,support-platform,C256758,U879612,Orbit Logistics,2026-04-24T15:15:24.311218+00:00,[Orbit Logistics] SSO login is failing for all Okta users since this morning.,mock_generator,authentication,high,negative
TCKT-0046,thread-39,support-platform,C557423,U209143,BrightPath AI,2026-04-24T10:12:24.311218+00:00,[BrightPath AI] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0047,thread-27,support-auth,C980014,U861961,Northstar Retail,2026-04-25T04:23:24.311218+00:00,[Northstar Retail] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0048,thread-19,support-enterprise,C777985,U313256,Acme Health,2026-04-23T16:19:24.311218+00:00,[Acme Health] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0049,thread-28,support-billing,C469125,U807679,Maple Bank,2026-04-27T13:34:24.311218+00:00,[Maple Bank] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0050,thread-18,support-auth,C571157,U909657,Maple Bank,2026-04-23T09:09:24.311218+00:00,[Maple Bank] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0051,thread-16,support-platform,C995353,U480385,Northstar Retail,2026-04-19T16:10:24.311218+00:00,[Northstar Retail] API requests are timing out intermittently on the create-ticket endpoint.,mock_generator,api,medium,neutral
TCKT-0052,thread-12,support-enterprise,C790964,U307228,Orbit Logistics,2026-04-25T05:48:24.311218+00:00,[Orbit Logistics] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0053,thread-40,support-enterprise,C873475,U563170,Northstar Retail,2026-04-20T00:04:24.311218+00:00,[Northstar Retail] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0054,thread-34,support-enterprise,C338802,U818639,Orbit Logistics,2026-04-26T07:21:24.311218+00:00,[Orbit Logistics] SSO login is failing for all Okta users since this morning.,mock_generator,authentication,high,negative
TCKT-0055,thread-37,support-platform,C442560,U504629,BrightPath AI,2026-04-23T16:05:24.311218+00:00,[BrightPath AI] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0056,thread-10,support-enterprise,C202907,U526265,Orbit Logistics,2026-04-18T13:25:24.311218+00:00,[Orbit Logistics] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0057,thread-10,support-auth,C595098,U235190,Orbit Logistics,2026-04-26T15:25:24.311218+00:00,[Orbit Logistics] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0058,thread-11,support-billing,C405237,U562534,Northstar Retail,2026-04-26T00:20:24.311218+00:00,[Northstar Retail] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0059,thread-37,support-auth,C657142,U426500,BrightPath AI,2026-04-26T17:39:24.311218+00:00,[BrightPath AI] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0060,thread-11,support-billing,C843668,U662525,Maple Bank,2026-04-22T04:20:24.311218+00:00,[Maple Bank] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0061,thread-32,support-billing,C388025,U408863,Acme Health,2026-04-21T23:57:24.311218+00:00,[Acme Health] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0062,thread-34,support-billing,C145668,U489997,Northstar Retail,2026-04-18T02:06:24.311218+00:00,[Northstar Retail] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0063,thread-35,support-enterprise,C484715,U330395,BrightPath AI,2026-04-22T14:08:24.311218+00:00,[BrightPath AI] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0064,thread-21,support-platform,C992909,U500863,Acme Health,2026-04-21T06:45:24.311218+00:00,[Acme Health] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
TCKT-0065,thread-11,support-enterprise,C214821,U809376,Acme Health,2026-04-21T04:01:24.311218+00:00,[Acme Health] SSO login is failing for all Okta users since this morning.,mock_generator,authentication,high,negative
TCKT-0066,thread-27,support-enterprise,C149368,U811321,Northstar Retail,2026-04-26T03:55:24.311218+00:00,[Northstar Retail] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0067,thread-34,support-billing,C247289,U599170,Acme Health,2026-04-27T11:59:24.311218+00:00,[Acme Health] Slack alerts stopped posting to the incident channel after reconnect.,mock_generator,integrations,medium,negative
TCKT-0068,thread-19,support-auth,C679421,U117451,BrightPath AI,2026-04-24T08:46:24.311218+00:00,[BrightPath AI] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0069,thread-30,support-enterprise,C208891,U442212,Acme Health,2026-04-26T18:12:24.311218+00:00,[Acme Health] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0070,thread-37,support-enterprise,C197661,U660154,Acme Health,2026-04-19T20:07:24.311218+00:00,[Acme Health] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0071,thread-33,support-platform,C899029,U174426,Acme Health,2026-04-24T11:58:24.311218+00:00,[Acme Health] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0072,thread-36,support-platform,C409313,U884870,Northstar Retail,2026-04-20T10:34:24.311218+00:00,[Northstar Retail] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0073,thread-36,support-enterprise,C939639,U159110,Acme Health,2026-04-19T05:31:24.311218+00:00,[Acme Health] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0074,thread-35,support-auth,C704944,U349943,Orbit Logistics,2026-04-22T05:10:24.311218+00:00,[Orbit Logistics] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0075,thread-37,support-auth,C971458,U342785,Northstar Retail,2026-04-21T06:28:24.311218+00:00,[Northstar Retail] Production webhook deliveries are failing across multiple tenants.,mock_generator,api,critical,negative
TCKT-0076,thread-29,support-billing,C975369,U314945,Northstar Retail,2026-04-22T16:16:24.311218+00:00,[Northstar Retail] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0077,thread-21,support-enterprise,C747628,U154998,Orbit Logistics,2026-04-25T11:08:24.311218+00:00,[Orbit Logistics] Password reset emails are delayed by more than thirty minutes.,mock_generator,authentication,medium,negative
TCKT-0078,thread-18,support-billing,C374256,U846625,Acme Health,2026-04-26T09:21:24.311218+00:00,[Acme Health] The dashboard export button is slow but eventually completes.,mock_generator,dashboard,low,neutral
TCKT-0079,thread-32,support-billing,C660231,U686815,Orbit Logistics,2026-04-18T20:09:24.311218+00:00,[Orbit Logistics] Customer confirmed the refund appeared and thanked the support team.,mock_generator,billing,low,positive
TCKT-0080,thread-34,support-auth,C834515,U720620,Maple Bank,2026-04-27T09:56:24.311218+00:00,[Maple Bank] Customer says they were double charged after upgrading seats.,mock_generator,billing,high,negative
